query_id,target_page,category,query_text,word_count
geostack-factual-1,/geo-stack/,Factual,What is the GEO Stack framework in AI search,9
geostack-factual-2,/geo-stack/,Factual,What are the five layers of the GEO Stack,9
geostack-factual-3,/geo-stack/,Factual,Define the GEO Stack model for generative engine optimisation,9
geostack-entity-1,/geo-stack/,Entity,What is the Retrieval Probability layer in GEO Stack,9
geostack-entity-2,/geo-stack/,Entity,How does Entity Reinforcement work in the GEO Stack,9
geostack-entity-3,/geo-stack/,Entity,What does the System Memory layer measure in GEO Stack,10
geostack-semantic-1,/geo-stack/,Semantic,How is the GEO Stack framework structured for AI citation,10
geostack-semantic-2,/geo-stack/,Semantic,How does the GEO Stack improve citation in AI search,10
geostack-semantic-3,/geo-stack/,Semantic,What approach does the GEO Stack take to optimisation,9
geostack-compare-1,/geo-stack/,Compare,GEO Stack versus traditional SEO frameworks for AI search,9
geostack-compare-2,/geo-stack/,Compare,How does the GEO Stack differ from standard SEO models,10
geostack-compare-3,/geo-stack/,Compare,Retrieval Probability versus Extractability in the GEO Stack,8
geostack-tutorial-1,/geo-stack/,Tutorial,How to apply the five GEO Stack layers step by step,11
geostack-tutorial-2,/geo-stack/,Tutorial,Guide to optimising a page with the GEO Stack layers,10
geostack-tutorial-3,/geo-stack/,Tutorial,How do I implement the GEO Stack on my site,10
geostack-attribute-1,/geo-stack/,Attribute,How many layers does the GEO Stack framework have,9
geostack-attribute-2,/geo-stack/,Attribute,Which GEO Stack layer most affects citation rate,8
geostack-attribute-3,/geo-stack/,Attribute,What order are the five GEO Stack layers applied,9
geostack-followup-1,/geo-stack/,Follow-up,After building the GEO Stack what should I measure next,10
geostack-followup-2,/geo-stack/,Follow-up,Once GEO Stack layers are set what comes after,9
geostack-followup-3,/geo-stack/,Follow-up,What follows Structural Authority in the GEO Stack sequence,9
geostack-anticipate-1,/geo-stack/,Anticipate,What tools measure the GEO Stack layers for citation,9
geostack-anticipate-2,/geo-stack/,Anticipate,How do I track GEO Stack performance over time,9
