day,date,query_id,tier,query_text,result_code,cited_url,platform,data_source
1,2026-04-24,1,T2,What is GEO (Generative Engine Optimisation)?,X,,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,2,T1,What is Retrieval Probability in AI search?,C,https://thegeolab.net/retrieval-probability/,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,3,T1,What is LLM readability?,X,,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,4,T2,GEO vs traditional SEO — what changed?,X,,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,5,T1,How does the GEO Stack work?,C,https://thegeolab.net/geo-stack/,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,6,T1,What is Extractability in GEO?,C,https://thegeolab.net/extractability/,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,7,T2,Does GEO actually work?,X,,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,8,T2,How to measure AI citation rate?,X,,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,9,T1,What is System Memory in GEO?,X,,perplexity_sonar_pro,vps_json_retroactive
1,2026-04-24,10,T2,How do AI search engines select content to cite?,X,,perplexity_sonar_pro,vps_json_retroactive
2,2026-04-25,1,T2,What is GEO (Generative Engine Optimisation)?,X,,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,2,T1,What is Retrieval Probability in AI search?,C,https://thegeolab.net/retrieval-probability/,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,3,T1,What is LLM readability?,X,,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,4,T2,GEO vs traditional SEO — what changed?,X,,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,5,T1,How does the GEO Stack work?,C,https://thegeolab.net/geo-stack/,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,6,T1,What is Extractability in GEO?,C,https://thegeolab.net/extractability/,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,7,T2,Does GEO actually work?,X,,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,8,T2,How to measure AI citation rate?,X,,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,9,T1,What is System Memory in GEO?,X,,perplexity_sonar_pro,reconstructed_from_notes
2,2026-04-25,10,T2,How do AI search engines select content to cite?,X,,perplexity_sonar_pro,reconstructed_from_notes
3,2026-04-26,1,T2,What is GEO (Generative Engine Optimisation)?,X,,perplexity_sonar_pro,vps_csv
3,2026-04-26,2,T1,What is Retrieval Probability in AI search?,C,https://thegeolab.net/retrieval-probability/,perplexity_sonar_pro,vps_csv
3,2026-04-26,3,T1,What is LLM readability?,X,,perplexity_sonar_pro,vps_csv
3,2026-04-26,4,T2,GEO vs traditional SEO — what changed?,X,,perplexity_sonar_pro,vps_csv
3,2026-04-26,5,T1,How does the GEO Stack work?,C,https://thegeolab.net/geo-stack/,perplexity_sonar_pro,vps_csv
3,2026-04-26,6,T1,What is Extractability in GEO?,C,https://thegeolab.net/extractability/,perplexity_sonar_pro,vps_csv
