query_id,query_text,length_tier,target_page,day,date,cited,query_rewrite,query_rewrite_text,correct_page_retrieved,wrong_page_retrieved,gis_noise_count,thatware_rank,hashmeta_rank,notes
geostack_2_1,GEO Stack framework,2-4,/geo-stack/,1,2026-05-19,1,NA,NA,1,,0,2,0,
geostack_2_2,GEO Stack layers,2-4,/geo-stack/,1,2026-05-19,1,NA,NA,1,,2,0,0,
geostack_2_3,GEO Stack model,2-4,/geo-stack/,1,2026-05-19,0,NA,NA,0,,0,0,0,
geostack_2_4,GEO Stack approach,2-4,/geo-stack/,1,2026-05-19,1,NA,NA,1,,1,0,0,
geostack_2_5,GEO Stack methodology,2-4,/geo-stack/,1,2026-05-19,0,NA,NA,0,,1,0,0,
geostack_6_1,what is the GEO Stack framework,6-8,/geo-stack/,1,2026-05-19,1,NA,NA,1,,0,2,0,
geostack_6_2,what are the GEO Stack layers,6-8,/geo-stack/,1,2026-05-19,1,NA,NA,1,,1,0,0,
geostack_6_3,the GEO Stack model for AI search,6-8,/geo-stack/,1,2026-05-19,0,NA,NA,0,,0,1,0,
geostack_6_4,GEO Stack approach to AI optimisation,6-8,/geo-stack/,1,2026-05-19,0,NA,NA,0,,0,0,0,
geostack_6_5,GEO Stack methodology for citation measurement,6-8,/geo-stack/,1,2026-05-19,0,NA,NA,0,/geo-brand-citation-index/,0,0,0,
geostack_10_1,how does the GEO Stack framework structure AI search optimisation,10-12,/geo-stack/,1,2026-05-19,0,NA,NA,0,,0,0,0,
geostack_10_2,how do the five GEO Stack layers work together for citation,10-12,/geo-stack/,1,2026-05-19,1,NA,NA,1,,0,0,0,
geostack_10_3,how does the GEO Stack model differ from traditional SEO frameworks,10-12,/geo-stack/,1,2026-05-19,0,NA,NA,0,,0,0,0,
geostack_10_4,what is the GEO Stack approach to optimising for AI citation,10-12,/geo-stack/,1,2026-05-19,0,NA,NA,0,,0,0,0,
geostack_10_5,how does the GEO Stack methodology measure AI citation rates systematically,10-12,/geo-stack/,1,2026-05-19,0,NA,NA,0,,0,0,0,
extract_2_1,extractability AI search,2-4,/extractability/,1,2026-05-19,0,NA,NA,0,,0,0,0,
extract_2_2,content extractability GEO,2-4,/extractability/,1,2026-05-19,1,NA,NA,1,,0,0,0,
extract_2_3,passage extractability,2-4,/extractability/,1,2026-05-19,0,NA,NA,0,,0,0,0,
