query_id,query_text,length_tier,target_page,platform,sub_query_count,sub_query_texts,query_rewrite,query_rewrite_text,deep_crawl_fired,urls_crawled,target_page_in_retrieval_set,target_page_rank,thatware_in_retrieval_set,thatware_rank,hashmeta_in_retrieval_set,hashmeta_rank,snippet_text,network_trace_readability,session_date,notes
geo-stack-q1-2w,GEO Stack framework,2-4w,/geo-stack/,Perplexity,,,,,,,,,,,,,,,,
geo-stack-q1-2w,GEO Stack framework,2-4w,/geo-stack/,ChatGPT,,,,,,,,,,,,,,,,
geo-stack-q1-2w,GEO Stack framework,2-4w,/geo-stack/,Gemini,,,,,,,,,,,,,,,,
geo-stack-q2-6w,what is the GEO Stack framework,6-8w,/geo-stack/,Perplexity,,,,,,,,,,,,,,,,
geo-stack-q2-6w,what is the GEO Stack framework,6-8w,/geo-stack/,ChatGPT,,,,,,,,,,,,,,,,
geo-stack-q2-6w,what is the GEO Stack framework,6-8w,/geo-stack/,Gemini,,,,,,,,,,,,,,,,
geo-stack-q3-10w,how does the GEO Stack framework structure AI search optimisation,10-12w,/geo-stack/,Perplexity,,,,,,,,,,,,,,,,
geo-stack-q3-10w,how does the GEO Stack framework structure AI search optimisation,10-12w,/geo-stack/,ChatGPT,,,,,,,,,,,,,,,,
geo-stack-q3-10w,how does the GEO Stack framework structure AI search optimisation,10-12w,/geo-stack/,Gemini,,,,,,,,,,,,,,,,
extractability-q1-2w,extractability AI search,2-4w,/extractability/,Perplexity,,,,,,,,,,,,,,,,
extractability-q1-2w,extractability AI search,2-4w,/extractability/,ChatGPT,,,,,,,,,,,,,,,,
extractability-q1-2w,extractability AI search,2-4w,/extractability/,Gemini,,,,,,,,,,,,,,,,
extractability-q2-6w,what is extractability in AI search,6-8w,/extractability/,Perplexity,,,,,,,,,,,,,,,,
extractability-q2-6w,what is extractability in AI search,6-8w,/extractability/,ChatGPT,,,,,,,,,,,,,,,,
extractability-q2-6w,what is extractability in AI search,6-8w,/extractability/,Gemini,,,,,,,,,,,,,,,,
extractability-q3-10w,how does extractability affect citation rate in Perplexity AI search,10-12w,/extractability/,Perplexity,,,,,,,,,,,,,,,,
extractability-q3-10w,how does extractability affect citation rate in Perplexity AI search,10-12w,/extractability/,ChatGPT,,,,,,,,,,,,,,,,
extractability-q3-10w,how does extractability affect citation rate in Perplexity AI search,10-12w,/extractability/,Gemini,,,,,,,,,,,,,,,,
retrieval-prob-q1-2w,retrieval probability GEO,2-4w,/retrieval-probability/,Perplexity,,,,,,,,,,,,,,,,
retrieval-prob-q1-2w,retrieval probability GEO,2-4w,/retrieval-probability/,ChatGPT,,,,,,,,,,,,,,,,
retrieval-prob-q1-2w,retrieval probability GEO,2-4w,/retrieval-probability/,Gemini,,,,,,,,,,,,,,,,
retrieval-prob-q2-6w,retrieval probability in GEO Stack model,6-8w,/retrieval-probability/,Perplexity,,,,,,,,,,,,,,,,
retrieval-prob-q2-6w,retrieval probability in GEO Stack model,6-8w,/retrieval-probability/,ChatGPT,,,,,,,,,,,,,,,,
retrieval-prob-q2-6w,retrieval probability in GEO Stack model,6-8w,/retrieval-probability/,Gemini,,,,,,,,,,,,,,,,
retrieval-prob-q3-10w,what is retrieval probability and how does it affect AI citation,10-12w,/retrieval-probability/,Perplexity,,,,,,,,,,,,,,,,
retrieval-prob-q3-10w,what is retrieval probability and how does it affect AI citation,10-12w,/retrieval-probability/,ChatGPT,,,,,,,,,,,,,,,,
retrieval-prob-q3-10w,what is retrieval probability and how does it affect AI citation,10-12w,/retrieval-probability/,Gemini,,,,,,,,,,,,,,,,
