query_id,tier,platform,iteration,cited,thegeolab_rank,retrieval_set_size,notes
T1-Q1,T1,perplexity-sonar-pro,1,Y,1,8,slug=/geo-stack/
T1-Q2,T1,perplexity-sonar-pro,1,N,,8,
T1-Q3,T1,perplexity-sonar-pro,1,N,,9,
T1-Q4,T1,perplexity-sonar-pro,1,Y,1,9,slug=/extractability/
T1-Q5,T1,perplexity-sonar-pro,1,Y,1,8,slug=/about/|/thegeolab.net/
T2-Q1,T2,perplexity-sonar-pro,1,N,,9,
T2-Q2,T2,perplexity-sonar-pro,1,N,,9,
T2-Q3,T2,perplexity-sonar-pro,1,N,,9,
T2-Q4,T2,perplexity-sonar-pro,1,N,,8,
T2-Q5,T2,perplexity-sonar-pro,1,N,,9,
T1-Q1,T1,perplexity-sonar-pro,2,Y,1,8,slug=/geo-stack/
T1-Q2,T1,perplexity-sonar-pro,2,N,,8,
T1-Q3,T1,perplexity-sonar-pro,2,N,,9,
T1-Q4,T1,perplexity-sonar-pro,2,N,,9,
T1-Q5,T1,perplexity-sonar-pro,2,Y,1,9,slug=/about/|/thegeolab.net/
T2-Q1,T2,perplexity-sonar-pro,2,N,,10,
T2-Q2,T2,perplexity-sonar-pro,2,N,,10,
T2-Q3,T2,perplexity-sonar-pro,2,N,,9,
T2-Q4,T2,perplexity-sonar-pro,2,N,,8,
T2-Q5,T2,perplexity-sonar-pro,2,N,,10,
T1-Q1,T1,perplexity-sonar-pro,3,Y,1,8,slug=/geo-stack/
T1-Q2,T1,perplexity-sonar-pro,3,N,,8,
T1-Q3,T1,perplexity-sonar-pro,3,N,,9,
T1-Q4,T1,perplexity-sonar-pro,3,Y,1,9,slug=/extractability/
T1-Q5,T1,perplexity-sonar-pro,3,Y,1,9,slug=/about/|/thegeolab.net/
T2-Q1,T2,perplexity-sonar-pro,3,N,,10,
T2-Q2,T2,perplexity-sonar-pro,3,N,,9,
T2-Q3,T2,perplexity-sonar-pro,3,N,,9,
T2-Q4,T2,perplexity-sonar-pro,3,N,,8,
T2-Q5,T2,perplexity-sonar-pro,3,N,,10,
T1-Q1,T1,perplexity-sonar-pro,4,Y,1,8,slug=/geo-stack/
T1-Q2,T1,perplexity-sonar-pro,4,N,,8,
T1-Q3,T1,perplexity-sonar-pro,4,N,,9,
T1-Q4,T1,perplexity-sonar-pro,4,N,,9,
T1-Q5,T1,perplexity-sonar-pro,4,Y,1,8,slug=/about/|/thegeolab.net/
T2-Q1,T2,perplexity-sonar-pro,4,N,,10,
T2-Q2,T2,perplexity-sonar-pro,4,N,,10,
T2-Q3,T2,perplexity-sonar-pro,4,N,,9,
T2-Q4,T2,perplexity-sonar-pro,4,N,,8,
T2-Q5,T2,perplexity-sonar-pro,4,N,,9,
T1-Q1,T1,perplexity-sonar-pro,5,Y,1,8,slug=/geo-stack/
T1-Q2,T1,perplexity-sonar-pro,5,N,,8,
T1-Q3,T1,perplexity-sonar-pro,5,N,,9,
T1-Q4,T1,perplexity-sonar-pro,5,N,,9,
T1-Q5,T1,perplexity-sonar-pro,5,Y,1,8,slug=/about/|/thegeolab.net/
T2-Q1,T2,perplexity-sonar-pro,5,N,,10,
T2-Q2,T2,perplexity-sonar-pro,5,N,,10,
T2-Q3,T2,perplexity-sonar-pro,5,N,,10,
T2-Q4,T2,perplexity-sonar-pro,5,N,,8,
T2-Q5,T2,perplexity-sonar-pro,5,N,,9,
T1-Q1,T1,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T1-Q2,T1,chatgpt-gpt4o-mini,1,N,,2,
T1-Q3,T1,chatgpt-gpt4o-mini,1,Y,5,5,slug=/what-is-citation-share-of-voice/
T1-Q4,T1,chatgpt-gpt4o-mini,1,Y,1,1,slug=/extractability/
T1-Q5,T1,chatgpt-gpt4o-mini,1,Y,1,2,slug=/?utm_source=chatgpt.com/|/about/
T2-Q1,T2,chatgpt-gpt4o-mini,1,N,,2,
T2-Q2,T2,chatgpt-gpt4o-mini,1,N,,4,
T2-Q3,T2,chatgpt-gpt4o-mini,1,N,,2,
